Celebrity,Professional,Dance,Song,Series,Week,Order,Craig,Arlene,Len,Bruno,Alesha,Darcey,Jennifer,Donny,Total
Peter Andre,Janette Manrara,Charleston,Do Your Thing,13,7,1,9,0,10,9,0,10,0,0,38
Jamelia,Tristan MacManus,Viennese Waltz,Trouble,13,7,2,7,0,7,7,0,7,0,0,28
Carol Kirkwood,Pasha Kovalev,American Smooth,Man! I Feel Like A Woman,13,7,3,3,0,5,4,0,5,0,0,17
Helen George,Aljaž Skorjanec,Rumba,Hello,13,7,4,8,0,7,8,0,8,0,0,31
Jay McGuiness,Aliona Vilani,Argentine Tango,Diferente,13,7,5,8,0,8,9,0,9,0,0,34
Katie Derham,Anton du Beke,Quickstep,42nd Street,13,7,6,6,0,7,6,0,7,0,0,26
Anita Rani,Gleb Savchenko,Jive,The Boy Does Nothing,13,7,7,8,0,9,9,0,8,0,0,34
Kellie Bright,Kevin Clifton,Waltz,Love Ain't Here Anymore,13,7,8,8,0,8,8,0,8,0,0,32
Jeremy Vine,Karen Clifton,Tango,Go West,13,7,9,4,0,6,5,0,6,0,0,21
Georgia May Foote,Giovanni Pernice,Samba,Volare,13,7,10,8,0,9,9,0,9,0,0,35
Anita Rani,Gleb Savchenko,Quickstep,Don't Get Me Wrong,13,8,1,8,0,8,8,0,8,0,0,32
Jay McGuiness,Aliona Vilani,Foxtrot,Lay Me Down,13,8,2,6,0,8,8,0,8,0,0,30
Jamelia,Tristan MacManus,Samba,A Little Respect,13,8,3,5,0,7,7,0,7,0,0,26
Helen George,Aljaž Skorjanec,Tango,Hold Back The River,13,8,4,8,0,8,9,0,9,0,0,34
Katie Derham,Anton du Beke,Rumba,"Never, Never, Never",13,8,5,7,0,8,8,0,8,0,0,31
Kellie Bright,Kevin Clifton,Samba,Boom! Shake The Room,13,8,6,9,0,7,9,0,8,0,0,33
Peter Andre,Janette Manrara,Viennese Waltz,You're My World,13,8,7,8,0,8,9,0,9,0,0,34
Georgia May Foote,Giovanni Pernice,Charleston,Hot Honey Rag,13,8,8,9,0,10,10,0,10,0,0,39
Jeremy Vine,Karen Clifton,Quickstep,Going Underground,13,8,9,4,0,6,5,0,6,0,0,21
Jay McGuiness,Aliona Vilani,Salsa,Cuba,13,9,1,9,0,9,9,0,9,0,0,36
Jamelia,Tristan MacManus,Quickstep,I'm A Believer,13,9,2,7,0,8,8,0,8,0,0,31
Anita Rani,Gleb Savchenko,Paso doble,Malaguena,13,9,3,9,0,9,9,0,10,0,0,37
Katie Derham,Anton du Beke,American Smooth,Ain't That A Kick In The Head,13,9,4,8,0,9,9,0,9,0,0,35
Peter Andre,Janette Manrara,Jive,River Deep Mountain High,13,9,5,6,0,8,8,0,7,0,0,29
Georgia May Foote,Giovanni Pernice,American Smooth,I Have Nothing,13,9,6,9,0,10,10,0,9,0,0,38
Helen George,Aljaž Skorjanec,Charleston,Anything Goes,13,9,7,8,0,8,9,0,9,0,0,34
Kellie Bright,Kevin Clifton,Quickstep,9 To 5,13,9,8,9,0,9,10,0,9,0,0,37
Kellie Bright,Kevin Clifton,Salsa,I Want You Back,13,10,1,8,0,9,9,0,8,0,0,34
Katie Derham,Anton du Beke,Argentine Tango,Libertango,13,10,2,7,0,8,9,0,8,0,0,32
Helen George,Aljaž Skorjanec,Viennese Waltz,At Last,13,10,3,9,0,10,10,0,10,0,0,39
Jay McGuiness,Aliona Vilani,Tango,When Doves Cry,13,10,4,9,0,9,10,0,10,0,0,38
Peter Andre,Janette Manrara,American Smooth,(I Get The) Sweetest Feeling,13,10,5,7,0,8,8,0,8,0,0,31
Anita Rani,Gleb Savchenko,Rumba,Read All About It,13,10,6,7,0,7,9,0,8,0,0,31
Georgia May Foote,Giovanni Pernice,Paso doble,The Final Countdown,13,10,7,8,0,8,9,0,8,0,0,33
Georgia May Foote,Giovanni Pernice,Foxtrot,Beauty And The Beast,13,11,1,9,0,9,9,0,9,0,0,36
Anita Rani,Gleb Savchenko,Argentine Tango,Cell Block Tango (He Had It Comin'),13,11,2,6,0,9,8,0,8,0,0,31
Kellie Bright,Kevin Clifton,Viennese Waltz,Oom Pah Pah,13,11,3,9,0,9,9,0,9,0,0,36
Jay McGuiness,Aliona Vilani,Rumba,Falling Slowly,13,11,4,9,0,10,10,0,10,0,0,39
Katie Derham,Anton du Beke,Foxtrot,Maybe This Time,13,11,5,8,0,9,9,0,9,0,0,35
Helen George,Aljaž Skorjanec,Paso doble,At The End Of The Day,13,11,6,8,0,9,9,0,8,0,0,34
Katie Derham,Anton du Beke,Charleston,Too Darn Hot,13,12,1,4,0,7,7,0,7,0,0,25
Jay McGuiness,Aliona Vilani,Viennese Waltz,Have You Ever Really Loved A Woman?,13,12,2,8,0,8,9,0,9,0,0,34
Georgia May Foote,Giovanni Pernice,Cha-cha-cha,I Will Survive,13,12,3,8,0,8,9,0,8,0,0,33
Anita Rani,Gleb Savchenko,Foxtrot,"New York, New York",13,12,4,7,0,8,9,0,8,0,0,32
Kellie Bright,Kevin Clifton,Rumba,Songbird,13,12,5,9,0,9,8,0,8,0,0,34
Katie Derham,Anton du Beke,Waltz,O Mio Bambino Caro,13,12,6,8,0,7,7,0,9,0,0,31
Jay McGuiness,Aliona Vilani,Charleston,Doctor Jazz,13,12,7,9,0,9,10,0,9,0,0,37
Georgia May Foote,Giovanni Pernice,Viennese Waltz,Runaway,13,12,8,9,0,9,10,0,10,0,0,38
Anita Rani,Gleb Savchenko,Salsa,Feel This Moment,13,12,9,8,0,8,8,0,8,0,0,32
Kellie Bright,Kevin Clifton,American Smooth,Let's Face The Music And Dance,13,12,10,9,0,10,10,0,10,0,0,39
Jay McGuiness,Aliona Vilani,Quickstep,My Generation,13,13,1,9,0,9,9,0,9,0,0,36
Georgia May Foote,Giovanni Pernice,Rumba,Writing's On The Wall,13,13,2,9,0,9,9,0,9,0,0,36
Kellie Bright,Kevin Clifton,Tango,You Really Got Me,13,13,3,10,0,10,10,0,10,0,0,40
Katie Derham,Anton du Beke,Quickstep,42nd Street,13,13,4,7,0,8,8,0,8,0,0,31
Jay McGuiness,Aliona Vilani,Show dance,Can't Feel My Face,13,13,5,8,0,9,9,0,9,0,0,35
Georgia May Foote,Giovanni Pernice,Show dance,Fix You,13,13,6,9,0,9,9,0,9,0,0,36
Kellie Bright,Kevin Clifton,Show dance,The Ding-Dong Daddy Of The D-Car Line,13,13,7,10,0,10,10,0,10,0,0,40
Katie Derham,Anton du Beke,Show dance,O Fortuna,13,13,8,7,0,8,8,0,8,0,0,31
Laura Whitmore,Giovanni Pernice,Cha-cha-cha,Venus,14,1,1,5,0,7,7,0,6,0,0,25
Naga Munchetty,Pasha Kovalev,Waltz,Run To You,14,1,2,5,0,6,6,0,6,0,0,23
Judge Rinder,Oksana Platero,Cha-cha-cha,Mercy,14,1,3,6,0,6,6,0,7,0,0,25
